 Semestre ; Distretto ; Tipo Ufficio ; Sede ; Numero scheda Upp ; Desc Sezione ; Modello organizzativo prevalentemente utilizzato nell'Upp ; Somma di sopravvenuti x UPP ; Somma di definiti x UPP ;n. giudici supportati dall' upp x upp/sezione; addetti per upp/sezione (stima basata su giudici supportati) ; definiti per addetto ; Regione ; Area ; CR 
 IIsem ; Ancona ; Corte di Appello ; Ancona ; UPP 1 di 8 ; Prima Sezione Civile ; One to One ;429;595;6;7;85; Marche ; Centro ;1,39
 IIsem ; Ancona ; Corte di Appello ; Ancona ; UPP 2 di 8 ; Prima Sezione Civile ; One to One ;71;99;1;4;25; Marche ; Centro ;1,39
 IIsem ; Ancona ; Corte di Appello ; Ancona ; UPP 3 di 8 ; Seconda Sezione Civile ; One to One ;398;470;5;5;94; Marche ; Centro ;1,18
 IIsem ; Ancona ; Corte di Appello ; Ancona ; UPP 4 di 8 ; Seconda Sezione Civile ; One to One ;80;94;1;4;24; Marche ; Centro ;1,18
 IIsem ; Ancona ; Corte di Appello ; Ancona ; UPP 5 di 8 ; Sezione Lavoro Unica ; Mini Pool ;204;235;3;3;78; Marche ; Centro ;1,15
 IIsem ; Ancona ; Tribunale ; Ancona ; UPP 1 di 9 ; Prima Sezione Civile ; Mini Pool ;697;650;5;7;93; Marche ; Centro ;0,93
 IIsem ; Ancona ; Tribunale ; Ancona ; UPP 2 di 9 ; Prima Sezione Civile ; Mini Pool ;279;260;2; -   ; -   ; Marche ; Centro ;0,93
 IIsem ; Ancona ; Tribunale ; Ancona ; UPP 3 di 9 ; Prima Sezione Civile ; Mini Pool ;976;910;7;5;182; Marche ; Centro ;0,93
 IIsem ; Ancona ; Tribunale ; Ancona ; UPP 4 di 9 ; Prima Sezione Civile ; Mini Pool ;418;390;3;1;390; Marche ; Centro ;0,93
 IIsem ; Ancona ; Tribunale ; Ancona ; UPP 5 di 9 ; Seconda Sezione Civile ; Mini Pool ;845;952;6;4;238; Marche ; Centro ;1,13
 IIsem ; Ancona ; Tribunale ; Ancona ; UPP 6 di 9 ; Seconda Sezione Civile ; Mini Pool ;422;476;3;4;119; Marche ; Centro ;1,13
 IIsem ; Ancona ; Tribunale ; Ascoli Piceno ; UPP 1 di 6 ; Sezione Promiscua Unica ; One to One ;707;798;3;1;578; Marche ; Centro ;1,13
 IIsem ; Ancona ; Tribunale ; Ascoli Piceno ; UPP 2 di 6 ; Sezione Promiscua Unica ; One to One ;236;266;1;0;578; Marche ; Centro ;1,13
